evolution_method,mutation,crossover,batch_type,batch_offset_type,sub_gen_type,magic,magic_normalized,qsar,qsar_normalized,gass,gass_normalized,mnist,mnist_normalized
JDE,degl,bin,low,low,high,0.7179604,0.7832895999999999,0.76625,0.74875,0.8885554,0.7727778000000001,0.7601600000000001,0.74484
JDE,degl,interm,low,low,high,0.7201314,0.7828288,0.77875,0.7775,0.8877778000000001,0.7762220000000001,0.70236,0.7164
JADE,rand/1,bin,low,low,high,0.7186184,0.7846052,0.74125,0.71,0.7968888000000001,0.6085556,0.4645,0.50466
JADE,rand/1,interm,low,low,high,0.7223684,0.7864474,0.74875,0.7425,0.8678886,0.6776668,0.8684,0.87024
JADE,curr_p_best,bin,low,low,high,0.7157236,0.7836185999999999,0.72,0.73625,0.943,0.7745556,0.78704,0.78528
JADE,curr_p_best,interm,low,low,high,0.7183554,0.780329,0.7625,0.76375,0.9398888,0.8001111999999999,0.8354799999999999,0.8371200000000001
JADE,degl,bin,low,low,high,0.7207894,0.7765132,0.76,0.76,0.8873334,0.765,0.65758,0.7694
JADE,degl,interm,low,low,high,0.7226315999999999,0.7498028,0.7375,0.7075,0.7283334,0.4446668,0.40574,0.43968
SHADE,rand/1,bin,low,low,high,0.7132894000000001,0.7851974,0.72,0.7325,0.8208888000000001,0.5518890000000001,0.45528,0.57822
SHADE,rand/1,interm,low,low,high,0.7207236,0.7838818000000001,0.75375,0.75125,0.8685554,0.6814446,0.86882,0.8709399999999999
SHADE,curr_p_best,bin,low,low,high,0.7166448000000001,0.7821712,0.725,0.75875,0.9417778,0.7507778,0.7708,0.77346
SHADE,curr_p_best,interm,low,low,high,0.7188816,0.7800658,0.73125,0.77625,0.9455556,0.8073332,0.83242,0.82904
SHADE,degl,bin,low,low,high,0.7256578,0.7799344,0.76625,0.7575,0.9312222,0.7806668000000001,0.64086,0.76522
SHADE,degl,interm,low,low,high,0.7049342,0.753421,0.74125,0.6875,0.7575556,0.4702222,0.41182,0.41292
L-SHADE,rand/1,bin,low,low,high,0.7154606,0.7840788000000001,0.71125,0.72875,0.8304444,0.5882222,0.67806,0.73398
L-SHADE,rand/1,interm,low,low,high,0.717763,0.7841448000000001,0.76,0.74875,0.8697778,0.6826668,0.84962,0.85482
L-SHADE,curr_p_best,bin,low,low,high,0.7173028,0.7826974,0.72625,0.71875,0.9355554,0.7406666000000001,0.7476,0.75122
L-SHADE,curr_p_best,interm,low,low,high,0.7211185999999999,0.7824342,0.76375,0.77,0.9327778,0.7682220000000001,0.81818,0.81328
L-SHADE,degl,bin,low,low,high,0.723158,0.7770394,0.765,0.775,0.878,0.7463331999999999,0.63284,0.72738
L-SHADE,degl,interm,low,low,high,0.7094078,0.7623684000000001,0.77625,0.69375,0.7606668000000001,0.4365555999999999,0.4244600000000001,0.4309
